"","type_name","team_name","selected_by","total_points","team_code","team_id","status","first_name","second_name","now_cost","value_form","value_season","points_per_game","ep_next","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","ea_index","bps","team"
"1","Goalkeeper","Arsenal","5.0",47,3,1,"a","Wojciech","Szczesny",52,"0.0","9.0","2.8","0.0",1498,0,0,3,21,0,0,0,1,0,44,0,172,215,1
"2","Defender","Arsenal","8.5",73,3,1,"a","Laurent","Koscielny",60,"0.8","12.2","4.6","4.5",1375,3,0,6,14,0,0,0,3,0,0,7,240,331,1
"3","Defender","Arsenal","0.1",0,3,1,"u","Thomas","Vermaelen",50,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"4","Defender","Arsenal","1.7",48,3,1,"a","Kieran","Gibbs",52,"0.0","9.2","2.7","0.3",1300,0,3,4,20,1,0,0,3,0,0,3,192,284,1
"5","Defender","West Ham","0.7",64,21,20,"a","Carl","Jenkinson",50,"0.5","12.8","3.0","2.3",1679,0,2,6,16,0,0,0,1,0,0,0,262,294,20
"6","Defender","Arsenal","4.5",79,3,1,"a","Per","Mertesacker",60,"0.5","13.2","3.2","2.8",2250,0,1,8,28,0,0,0,2,0,0,6,282,503,1
"7","Defender","Arsenal","2.5",64,3,1,"a","Nacho","Monreal",49,"0.5","13.1","3.2","2.5",1591,0,2,6,18,0,0,0,2,0,0,5,247,381,1
"8","Defender","Arsenal","0.1",0,3,1,"a","Isaac","Hayden",43,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"9","Defender","Arsenal","4.1",32,3,1,"a","Hector","Bellerin",46,"0.8","7.0","3.6","3.8",680,1,1,3,9,0,0,0,2,0,0,0,126,163,1
"10","Midfielder","Arsenal","2.2",22,3,1,"a","Jack","Wilshere",63,"0.0","3.5","2.4","0.0",522,1,1,0,10,0,0,0,4,0,0,3,102,96,1
"11","Midfielder","Arsenal","1.0",20,3,1,"a","Theo","Walcott",89,"0.4","2.2","2.9","4.0",231,2,0,1,2,0,0,0,0,0,0,0,77,57,1
"12","Midfielder","Arsenal","10.5",58,3,1,"i","Aaron","Ramsey",86,"0.1","6.7","3.2","0.0",1223,3,2,5,14,0,0,0,4,0,0,5,207,253,1
"13","Midfielder","Arsenal","0.6",26,3,1,"a","Tomas","Rosicky",47,"0.2","5.5","2.4","1.0",458,1,1,1,6,0,0,0,1,0,0,3,105,115,1
"14","Midfielder","Arsenal","0.7",19,3,1,"i","Mikel","Arteta",53,"0.0","3.6","2.7","0.0",447,0,1,3,3,0,0,0,1,0,0,2,75,92,1
"15","Midfielder","Arsenal","1.1",53,3,1,"a","Alex","Oxlade-Chamberlain",62,"0.0","8.5","2.5","0.0",1396,1,2,6,18,0,0,0,4,0,0,3,245,255,1
"16","Midfielder","Arsenal","17.1",123,3,1,"a","Santiago","Cazorla",86,"0.9","14.3","4.9","7.8",2019,7,6,8,23,0,0,0,4,0,0,19,561,608,1
"17","Midfielder","Arsenal","0.0",0,3,1,"i","Vassiriki","Diaby",47,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"18","Midfielder","Arsenal","0.0",0,3,1,"a","Serge","Gnabry",48,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"19","Midfielder","Arsenal","0.0",0,3,1,"a","Gedion","Zelalem",47,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"20","Midfielder","Arsenal","0.3",42,3,1,"d","Mathieu","Flamini",48,"0.1","8.8","2.2","0.4",1403,0,2,4,20,0,0,0,3,0,0,0,194,261,1
"21","Midfielder","Arsenal","5.4",61,3,1,"a","Mesut","Özil",91,"1.0","6.7","5.5","8.8",903,3,4,3,11,0,0,0,0,0,0,10,232,249,1
"22","Midfielder","Arsenal","0.0",0,3,1,"n","Ryo","Miyaichi",45,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"23","Midfielder","Arsenal","31.3",149,3,1,"a","Alexis","Sánchez",113,"0.1","13.2","6.5","1.3",1915,12,7,7,24,0,0,1,3,0,0,22,602,503,1
"24","Forward","Arsenal","0.4",7,3,1,"n","Lukas","Podolski",72,"0.0","1.0","1.0","0.0",106,0,0,0,0,0,0,0,0,0,0,0,14,13,1
"25","Forward","Arsenal","11.0",63,3,1,"a","Olivier","Giroud",83,"0.6","7.6","4.2","5.3",892,8,2,4,10,0,0,0,4,1,0,8,262,227,1
"26","Forward","Crystal Palace","0.7",13,31,5,"i","Yaya","Sanogo",47,"0.2","2.8","1.9","0.0",356,0,1,0,5,0,0,0,1,0,0,0,36,12,5
"27","Forward","Arsenal","0.0",6,3,1,"a","Chuba","Akpom",48,"0.3","1.2","2.0","1.3",30,0,1,0,0,0,0,0,0,0,0,0,23,16,1
"28","Forward","Arsenal","0.4",4,3,1,"u","Joel","Campbell",50,"0.0","0.8","1.0","0.0",41,0,0,0,1,0,0,0,0,0,0,0,5,16,1
"29","Goalkeeper","Aston Villa","7.4",0,7,2,"a","Shay","Given",40,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"30","Goalkeeper","Aston Villa","12.9",85,7,2,"a","Bradley","Guzan",47,"0.3","18.1","3.3","1.5",2340,0,0,7,36,0,0,0,2,0,81,1,213,391,2
"31","Defender","Aston Villa","0.1",20,7,2,"d","Nathan","Baker",43,"0.0","4.7","2.5","0.0",571,0,0,2,10,0,0,0,0,0,0,2,42,96,2
"32","Defender","Aston Villa","0.7",44,7,2,"a","Ciaran","Clark",43,"0.1","10.2","2.4","0.5",1462,1,1,3,25,0,0,0,6,1,0,5,159,277,2
"33","Defender","Aston Villa","0.1",10,7,2,"a","Matthew","Lowton",42,"0.0","2.4","2.0","0.0",361,0,0,1,5,0,0,0,1,0,0,0,31,58,2
"34","Defender","Aston Villa","9.4",37,7,2,"s","Ron","Vlaar",43,"-0.1","8.6","2.8","0.0",1017,0,0,4,12,0,0,0,1,1,0,5,85,173,2
"35","Defender","Aston Villa","0.0",0,7,2,"u","Joe","Bennett",45,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"36","Defender","Aston Villa","0.2",35,7,2,"a","Jores","Okore",43,"0.5","8.1","2.5","2.0",1200,1,0,2,18,0,0,0,6,0,0,5,126,229,2
"37","Defender","Aston Villa","0.0",0,7,2,"u","Antonio","Luna",45,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"38","Defender","Aston Villa","0.2",0,7,2,"a","Janoi","Donacien",39,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"39","Defender","Aston Villa","1.0",22,7,2,"d","Philippe","Senderos",43,"0.0","5.1","2.8","0.0",633,0,0,3,9,0,0,0,2,0,0,0,74,116,2
"40","Midfielder","Aston Villa","0.8",36,7,2,"a","Fabian","Delph",48,"0.6","7.5","2.2","2.8",1353,0,2,3,25,0,0,0,0,1,0,0,164,241,2
"41","Midfielder","Aston Villa","0.2",33,7,2,"a","Charles","N'Zogbia",52,"0.0","6.3","2.1","0.0",796,0,1,7,4,0,0,0,2,0,0,0,76,52,2
"42","Midfielder","Aston Villa","0.1",0,7,2,"u","Gary","Gardner",43,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
